seed,use_lr_scheduler,lr_training_epochs,lr_warmup_epochs,tensorboard_log_dir,data_dir,predict_data_dir,cls_label_file,aug_hist_equalize,batch_size,no_crop_resize,od_crop_factor,aug_rot_degrees,aug_translate,aug_scale,split_num_val_folds,split_val_fold_idx,split_test_prop,DATA_MAX_OD_DIAMETER_PROP,DATA_CROP_ENLARGMENT_FACTOR,lr,optimizer,weight_decay_factor,sgd_nesterov,sgd_momentum,adamw_amsgrad,dropout,label_smoothing,class_balancing,focal_loss_alpha,focal_loss_gamma,backbone,experiment_name,test_auroc,test_partial_auroc,test_sens_at_95_spec
100.0,0.0,20.0,1.0,exp_crops,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h2a932ca21a6567b5_s100_f0,0.977392852306366,0.932300865650177,0.8833338618278503
200.0,0.0,20.0,1.0,exp_crops,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h2a932ca21a6567b5_s200_f1,0.9798460006713867,0.9344213604927063,0.9018388390541077
300.0,0.0,20.0,1.0,exp_crops,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h2a932ca21a6567b5_s300_f2,0.9780148863792419,0.9211292862892151,0.8695488572120667
100.0,0.0,20.0,1.0,exp_crops,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.2,0.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h5d2652f50e1bd942_s100_f0,0.9840018153190613,0.9386720061302185,0.9009029269218445
200.0,0.0,20.0,1.0,exp_crops,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.2,0.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h5d2652f50e1bd942_s200_f1,0.9799058437347412,0.9278441667556763,0.8763617873191833
300.0,0.0,20.0,1.0,exp_crops,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.2,0.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h5d2652f50e1bd942_s300_f2,0.9759107232093811,0.9248607158660889,0.8664448261260986
100.0,0.0,20.0,1.0,exp_crops,./data/cfp_od_crop_FOV_f2.0_conf0.75,None,./data/dev_labels.csv,no,64.0,0.0,1.2,0.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h5e77f73fb6cb1d37_s100_f0,0.9823637008666992,0.93524169921875,0.8978763222694397
200.0,0.0,20.0,1.0,exp_crops,./data/cfp_od_crop_FOV_f2.0_conf0.75,None,./data/dev_labels.csv,no,64.0,0.0,1.2,0.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h5e77f73fb6cb1d37_s200_f1,0.9806101322174072,0.9312555193901062,0.8789949417114258
300.0,0.0,20.0,1.0,exp_crops,./data/cfp_od_crop_FOV_f2.0_conf0.75,None,./data/dev_labels.csv,no,64.0,0.0,1.2,0.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h5e77f73fb6cb1d37_s300_f2,0.9839938879013062,0.9373061060905457,0.8715581893920898
100.0,0.0,20.0,1.0,exp_crops,./data/square_png_224_2,None,./data/dev_labels.csv,no,64.0,1.0,1.5,0.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h76f5996b2c96146a_s100_f0,0.9639314413070679,0.880821168422699,0.8003984093666077
200.0,0.0,20.0,1.0,exp_crops,./data/square_png_224_2,None,./data/dev_labels.csv,no,64.0,1.0,1.5,0.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h76f5996b2c96146a_s200_f1,0.9538509845733643,0.874709963798523,0.8158111572265625
